epoch,train_loss,val_dice,val_clDice
1,0.6720068403120552,0.2615323605281966,0.38871085123227833
2,0.549503320189459,0.2599792929632323,0.4052334506770103
3,0.5126444247684309,0.3733796123947416,0.599212427362788
4,0.5021666800869363,0.36198362197194783,0.5425110671102078
5,0.49154647594051704,0.3966182891811643,0.5910130625425835
6,0.48339215107262135,0.38932704031467436,0.5929883435836233
7,0.4817545433129583,0.3926251032522747,0.5847181482448766
8,0.4724350729691131,0.37157064974308013,0.5774554116009921
9,0.478787629998156,0.34383661236081803,0.5391107052760873
10,0.47024933956563475,0.36194386737687245,0.5806324490401659
11,0.46812391142760007,0.3305358201265335,0.521565388664049
12,0.47186463571020537,0.3845421876226153,0.5715979061975069
13,0.46769584976136686,0.3537663983447211,0.5202955790963602
14,0.4654457866613354,0.33317905621869226,0.5224336005775689
15,0.46237686398838246,0.40190767986433845,0.5912122240239092
16,0.4610387219914368,0.3779370720897402,0.5453294073233766
17,0.46001182150627884,0.36210811861923764,0.5364447493552096
18,0.4589282243911709,0.3864578046969005,0.5413445315831494
19,0.45666117588324207,0.3994618935244424,0.5624428818301245
20,0.45785841670419486,0.4036411728177752,0.5851999981082887
21,0.4589950467858996,0.39715895780495236,0.5625051702636497
22,0.4567431561648846,0.4314862306628908,0.6604765870994939
23,0.4527606363807406,0.41004282576697215,0.6089590147575858
24,0.45117427589637893,0.4041919729539326,0.5609348665357572
25,0.45319115189569337,0.3676711193152836,0.5191571975033795
26,0.4525495270001037,0.3466132538659232,0.5186496575218167
27,0.4485079972339528,0.4248330763408116,0.6116007185218724
28,0.448526096450431,0.3891748432602201,0.5173405927993707
29,0.4483071793402944,0.36247326263359614,0.47132834687165764
30,0.4490440809833152,0.40527073868683405,0.5768033241763483
31,0.44789456405809946,0.41338154929024834,0.5757272089137155
32,0.4463049971099411,0.40808507885251727,0.5284865908070688
33,0.44832780403750283,0.38095483311585016,0.5176770131047631
34,0.45021298341453075,0.4228214987686702,0.6398837349819277
35,0.44639606348105837,0.42277315940175736,0.6304815637022122
36,0.4433791709265539,0.44591892659664156,0.6385644483334332
37,0.4439537752951894,0.399362530027117,0.6041198018261994
38,0.44581967326147215,0.3724652520247868,0.5939735617491086
39,0.4434115648269653,0.3822689571550914,0.5692935063236335
40,0.44176551241959844,0.4060562023094722,0.5543022522262829
41,0.4408051850008113,0.39836616005216324,0.5660683016689969
42,0.44351842302296846,0.4275698163679668,0.6105068769702082
43,0.44142278358340264,0.35406048383031574,0.4844835236409685
44,0.43872838313026086,0.37556220761367254,0.49956097883014977
45,0.43717999484922204,0.4460154618535723,0.6293781862408757
46,0.43873748518526556,0.39313770490033284,0.5409292273278672
47,0.4371808618839298,0.3960009740931647,0.580613205811194
48,0.43702950067818164,0.4563715581383024,0.6395541387532568
49,0.4354460277727672,0.4497830535684313,0.6945843781387513
50,0.4351014352270535,0.40426921929631915,0.5727224868686351
51,0.43725037867469446,0.3840142084019525,0.5322339263530104
52,0.437051203421184,0.43664885929652625,0.6699557289716012
53,0.4337139936962298,0.43826645399842945,0.6047360645343769
54,0.43419603971498355,0.4306018480232784,0.5921776505606762
55,0.43753378902162826,0.41747110315731595,0.6203036445895631
56,0.4373717738581555,0.44021194577217104,0.6632857185029378
57,0.4329632730356285,0.4405096343585423,0.6461103657815134
58,0.4328727403389556,0.47633166568619867,0.6728474688806217
59,0.43330533131957055,0.4191369346209935,0.6120300793084816
60,0.4325142041380916,0.43219743626458307,0.618249778781714
61,0.43331969108964713,0.34987013041973114,0.5073057344892468
62,0.43271741164582117,0.4118077018431255,0.5807330841739778
63,0.4334657765924931,0.44481808032308306,0.6241912400857196
64,0.43191875235310623,0.4551414915493556,0.6514433163178683
65,0.43267059735953806,0.45111300349235534,0.6664928015149924
66,0.43409560807049274,0.4780151069164276,0.6881350347244564
67,0.43238952314215046,0.4347354143857956,0.6848961373713797
68,0.43200181419295924,0.45382143003599984,0.6487896184906847
69,0.4306434480207307,0.4673501091344016,0.6559061565685338
70,0.4318106496440513,0.4583559811115265,0.6995281981014939
71,0.4304044710206134,0.483507376909256,0.6796027863658711
72,0.43063811526766843,0.5134246332304818,0.7695844262921417
73,0.42976524223174367,0.4824940511158535,0.7257534367106361
74,0.42999824088599,0.5156151141439166,0.7089279961592818
75,0.43003662239227974,0.4749693257468087,0.7144152805212252
76,0.4302238333438124,0.48925517627171106,0.6900100248632999
77,0.42969255569790094,0.47487091890403205,0.6563902892020997
78,0.4285649069717952,0.5075338772365026,0.7448732989542514
79,0.4282722751476935,0.4732193614755358,0.652167478525639
80,0.42905122829335074,0.4467188826629094,0.6527379168435543
81,0.43014685809612274,0.44370079381125316,0.6300626526447198
82,0.4311544427914279,0.48280120066234045,0.748830030475863
83,0.4289022461644241,0.4591636768409184,0.6766782456582204
84,0.4282046035464321,0.47128205980573384,0.7204504701259292
85,0.42919157833925314,0.4324455542223794,0.6522886340913205
86,0.42836838460394316,0.45737898434911456,0.665567531187555
87,0.42705356010368895,0.4844182593481881,0.7402375252860234
88,0.42655164184314864,0.4538151400429862,0.6528395340722021
89,0.42860123839761527,0.45676252969673703,0.6682439162975449
90,0.4277383911290339,0.4593832160745348,0.6645188836569582
91,0.4274718233517238,0.49635385019438605,0.702243410937782
92,0.4272442050810371,0.47627363545554025,0.7061697248874995
93,0.42678153796919754,0.4548899761268071,0.6874674170103429
94,0.4263705476054123,0.48562582050051006,0.7106541801146398
95,0.4263985360839537,0.49253894090652467,0.701909591271725
96,0.42684678312923224,0.3963222486632211,0.5431385806576172
97,0.42743164391389915,0.4512326010635921,0.6548323016396388
98,0.4266395166516304,0.48170541780335563,0.7003643645739577
99,0.42544958075242384,0.49293071031570435,0.685464221487124
100,0.42703360260597295,0.5055735426289695,0.7560819969237167
101,0.42679669218403954,0.516187355348042,0.7635979092954589
102,0.42596562573952335,0.515650246824537,0.7789939295619688
103,0.4272224098443985,0.48091201101030623,0.6862716387993747
104,0.42556480254445755,0.4840001276561192,0.7102339796554734
105,0.4275374247027295,0.46594352551868984,0.7105641222948765
106,0.42552981648061955,0.4637839785643986,0.6746105386914967
107,0.4251172055623361,0.4616375778402601,0.6501632090289385
108,0.42585866946194856,0.45948699287005834,0.7078560456404773
109,0.4242021395159619,0.465665317433221,0.6775777481438615
