epoch,stage,train_loss,val_dice,val_clDice,val_dice_artery,val_clDice_artery,val_dice_vein,val_clDice_vein
1,S1,8.790374101059777,0.011776921871517385,0.02253329876474807,0.0010942798723200602,0.0020133628911787036,0.032791794410773685,0.07439005951034586
2,S1,5.754610248122897,0.011592297828091042,0.023416185217254016,0.002395102321835501,0.004659760320021967,0.027205301741404193,0.06731441112783937
3,S1,3.243830812403134,0.11648361629673414,0.17356595869814487,0.026288246177136897,0.03938082081208932,0.25170314077820094,0.264591051471661
4,S1,2.187392615207604,0.27347539301429474,0.3108582351326205,0.07899853384920529,0.08213826289016887,0.29806203757013594,0.30168750281334655
5,S1,1.9317889632923262,0.33726889874253957,0.36693935988402593,0.11531005863632475,0.10653443981037374,0.29333123777593884,0.2998312842328231
6,S1,1.8270211822220257,0.3695041384015765,0.3932663540792621,0.14879409606967653,0.12321603360646134,0.274784822336265,0.290657330501964
7,S1,1.76079430856875,0.4007524618080684,0.4220323356831122,0.1717550863112722,0.11906421861003073,0.2751070916652679,0.3076446524834172
8,S1,1.7018315826143537,0.42300820393221716,0.4419715283714011,0.1962446928024292,0.13634591622028547,0.26547885558434897,0.301150275864531
9,S1,1.66601973090853,0.4424904193196978,0.4594380749004027,0.21570201707737788,0.15544428679268915,0.26734514768634526,0.30348012015698
10,S1,1.6513175874948502,0.45487156680652074,0.4694337080840929,0.23442084576402392,0.158822248044426,0.26583235157387597,0.3077922904465896
11,S1,1.6322653925844601,0.4752662011555263,0.48706414097227974,0.27262608749525885,0.20757850031753275,0.25706226101943425,0.2914715051840178
12,S1,1.6228990599513053,0.4826141425541469,0.49269962275184026,0.29534855697836193,0.25030522610340344,0.24440043994358607,0.26479252254100144
13,S1,1.612633562726634,0.49780830570629664,0.5062846701658176,0.2881861175809588,0.20277548116177485,0.27142570657389503,0.3146791916153193
14,S1,1.6078777438827923,0.5073383365358625,0.5144618916320955,0.2973963226590838,0.23826751202759908,0.27098953319447383,0.3022740958302565
15,S1,1.5985151390944208,0.5159351076398577,0.5237547690099297,0.31725006231239866,0.26590702067062466,0.26555725442511696,0.2908195254736165
16,S1,1.6005405234439032,0.523787933588028,0.5312226615171252,0.31167445863996235,0.2412929379844198,0.2795900340591158,0.3133793647102737
17,S1,1.5912904522248676,0.5367882728576661,0.5433602378189758,0.32197804834161486,0.2589651718244949,0.2837618159396308,0.3124708271748317
18,S1,1.588333070065294,0.5389280804565975,0.5466287483254845,0.3333859933274133,0.28267464833852357,0.2766039999467986,0.29835561179539755
19,S1,1.5915227415306228,0.5437275009495871,0.5524077345334052,0.3242889140333448,0.24922482918447184,0.29103643596172335,0.325268082589937
20,S1,1.5898959740996361,0.5558576915945326,0.5639730565550469,0.33835989236831665,0.27621598515352713,0.291347832764898,0.31789716679093
21,S1,1.5862066262534686,0.5581551722117832,0.5679574179836279,0.3434288429362433,0.26621406699881056,0.2927553581339972,0.3238297592991793
22,S1,1.584526141839368,0.564448356628418,0.5741136973846579,0.3497917303017208,0.2746978115688051,0.29412378711359843,0.3231956913079028
23,S1,1.5839913236243384,0.5678183444908687,0.5783750196310837,0.3424503002847944,0.26257270272834116,0.30182988941669464,0.33271637066407256
24,S1,1.5814145479883466,0.5733317903109959,0.5847155174300691,0.3650066771677562,0.3049792298175185,0.28951715571539743,0.307574739868602
25,S1,1.5825146658079965,0.5713082841464452,0.5836943527959281,0.3355175235441753,0.22453106900486333,0.3106617684875216,0.3520421222344051
